"gnd_id","author","title","date"
"http://d-nb.info/gnd/118534556","Friedrich de la Mot…","Die Saga von dem Gu…",1826
"http://d-nb.info/gnd/118603817","Friedrich Rückert","Die Makamen des Har…",1826
"http://d-nb.info/gnd/118597914","Ferdinand Raimund","Der Bauer als Milli…",1826
"http://d-nb.info/gnd/118597914","Ferdinand Raimund","Die gefesselte Phan…",1826
"http://d-nb.info/gnd/118542257","Grimm Jacob","Deutsche Grammatik",1826
"http://d-nb.info/gnd/118548018","Heine Heinrich","Reisebilder",1826
"http://d-nb.info/gnd/118554727","Humboldt Wilhelm von","Ueber die Buchstabe…",1826
"http://d-nb.info/gnd/118622366","Thünen Johann Heinr…","Der isolirte Staat …",1826
"http://d-nb.info/gnd/118546864","Wilhelm Hauff","Othello",1826
"http://d-nb.info/gnd/118546864","Wilhelm Hauff","Der Mann im Mond",1826
"http://d-nb.info/gnd/118546864","Wilhelm Hauff","Mitteilungen aus de…",1826
"http://d-nb.info/gnd/118546864","Wilhelm Hauff","Lichtenstein",1826
"http://d-nb.info/gnd/118548018","Heinrich Heine","Reisebilder",1826
"http://d-nb.info/gnd/118561545","Kerner Justinus","Gedichte",1826
"http://d-nb.info/gnd/118585053","Müller Johannes","Ueber die phantasti…",1826
"http://d-nb.info/gnd/118557211","Jean Paul","Selberlebensbeschre…",1826
"http://d-nb.info/gnd/178781924","J. J. Rudolphi","Schneeglöckchen",1826
"http://d-nb.info/gnd/12989432X","Ludwig Tieck","Glück giebt Verstand",1826
"http://d-nb.info/gnd/12989432X","Ludwig Tieck","Der Aufruhr in den …",1826
"http://d-nb.info/gnd/118759523","Christoph von Schmid","Der Weihnachtsabend",1825
"http://d-nb.info/gnd/11854943X","Herbart Johann Frie…","Psychologie als Wis…",1825
"http://d-nb.info/gnd/118542192","Franz Grillparzer","König Ottokars Glüc…",1825
"http://d-nb.info/gnd/118637266","Heinrich Zschokke","Addrich im Moos",1825
"http://d-nb.info/gnd/12989432X","Ludwig Tieck","Die Gesellschaft au…",1825
"http://d-nb.info/gnd/12989432X","Ludwig Tieck","Dichterleben",1825
"http://d-nb.info/gnd/118648071","Willibald Alexis","Walladmor",1824
"http://d-nb.info/gnd/117368857","Carl Franz van der …","Das Liebhaber-Theat…",1824
"http://d-nb.info/gnd/10055590X","Christian Jacob Wag…","Mustapha und Zeangir",1824
"http://d-nb.info/gnd/118519352","Carl Gustav Carus","Grundzüge allgemein…",1824
"http://d-nb.info/gnd/104153687","Weiss Philipp Fried…","Ueber den Starrkram…",1824
"http://d-nb.info/gnd/11854943X","Herbart Johann Frie…","Psychologie als Wis…",1824
"http://d-nb.info/gnd/118597914","Ferdinand Raimund","Der Diamant des Gei…",1824
"http://d-nb.info/gnd/11954153X","Müller Karl Otfried","Die Dorier",1824
"http://d-nb.info/gnd/11954153X","Müller Karl Otfried","Die Dorier",1824
"http://d-nb.info/gnd/12989432X","Ludwig Tieck","Die Reisenden",1824
"http://d-nb.info/gnd/118808346","Joseph Christian vo…","Zwei Nächte zu Vall…",1823
"http://d-nb.info/gnd/118759523","Christoph von Schmid","Rosa von Tannenburg",1823
"http://d-nb.info/gnd/118597914","Ferdinand Raimund","Der Barometermacher…",1823
"http://d-nb.info/gnd/118548018","Heinrich Heine","William Ratcliff",1823
"http://d-nb.info/gnd/118637266","Heinrich Zschokke","Der Freihof von Aar…",1823
"http://d-nb.info/gnd/12989432X","Ludwig Tieck","Die Verlobung",1823
"http://d-nb.info/gnd/12989432X","Ludwig Tieck","Musikalische Leiden…",1823
"http://d-nb.info/gnd/11858524X","Wilhelm Müller","Die Winterreise",1823
"http://d-nb.info/gnd/118552465","Hoffmann E. T. A.","Meister Floh",1822
"http://d-nb.info/gnd/118552465","E. T. A. Hoffmann","Des Vetters Eckfens…",1822
"http://d-nb.info/gnd/118552465","E.T.A. Hoffmann","Meister Floh",1822
"http://d-nb.info/gnd/118541102","Christian Dietrich …","Herzog Theodor von …",1822
"http://d-nb.info/gnd/118542192","Franz Grillparzer","Das goldene Vließ",1822
"http://d-nb.info/gnd/118763180","Tulla Johann Gottfr…","Der Rhein von Basel…",1822
"http://d-nb.info/gnd/118760866","Treviranus Gottfrie…","Biologie, oder Phil…",1822
"http://d-nb.info/gnd/100407471","Siegmeyer Johann G. ","Theorie der Tonsetz…",1822
"http://d-nb.info/gnd/118542257","Grimm Jacob","Deutsche Grammatik",1822
"http://d-nb.info/gnd/118563076","Kleist Heinrich von","Die Schlacht bei Fe…",1822
"http://d-nb.info/gnd/118637266","Heinrich Zschokke","Die Rose von Disent…",1822
"http://d-nb.info/gnd/118637266","Heinrich Zschokke","Ein Narr des neunze…",1822
"http://d-nb.info/gnd/118637266","Heinrich Zschokke","Der Flüchtling im J…",1822
"http://d-nb.info/gnd/118572741","Liebig Justus","Einige Bemerkungen …",1822
"http://d-nb.info/gnd/12989432X","Ludwig Tieck","Der Geheimnisvolle",1822
